,GPU_Name,brand,model,memory,memory_interface,clock_speed,Price
108,"EVGA GeForce GTX 1080 Ti SC2 Gaming, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M, Asynch Fan, Optimized Airflow Design Graphics Card 11G-P4-6593-KR",EVGA, GeForce GTX 1080 Ti SC2 Gaming , 11 GB , GDDR5X , 1670 MHz ,41599.20
109,MSI GEFORCE GTX1080 TI GAMING X 11G,MSI, GeForce GTX 1080 Ti , 11 GB , GDDR5 , 1683 MHz ,33599.20
110,"Gigabyte Radeon Rx 5700 Xt Gaming OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, Video Card",Gigabyte, Radeon Rx 5700 Xt , 8 GB , GDDR6 , 1905 MHz ,41516.00
111,PowerColor Navi AMD Radeon RX 5700 XT 8GB GDDR6 AXRX 5700Xt 8GBD6-M3DH,PowerColor, AXRX 5700XT 8GBD6-M3DH , 8 GB , GDDR6 , 1905 MHz ,71920.00
112,Sapphire Radeon PULSE RX 5700 Xt 8GB GDDR6 HDMI/ TRIPLE DP OC w/ Backplate (UEFI) PCIe 4.0 Graphics Card,SapphireTechnology, Radeon RX 5700 XT , 8 GB , GDDR6 , 1925 MHz ,67279.20
113,MSI Gaming Radeon Rx 5700 Xt Boost Clock: 1925 MHz 256-bit 8GB GDDR6 DP/HDMI Dual Fans Crossfire Freesync Navi Architecture Graphics Card,MSI, Radeon RX 5700 XT , 8 GB , GDDR6 , 1815 MHz ,30239.20
114,XFX RX 5700 Xt Thicc III Ultra 8GB Boost Up to 2025MHz GDDR6 3xDP HDMI Graphics Card,XFX, Radeon RX 5700 XT , 8 GB , GDDR6 , 2025 MHz ,71996.00
115,PowerColor Red Devil Radeon 8GB GDDR6 Graphics Card,PowerColor, Radeon RX 5700 XT , 8 GB , GDDR6 , 1905 MHz ,32960.80
116,MSI Gaming Radeon Rx 5700 Xt 256-bit 8GB GDDR6 HDMI/DP Dual Fans Crossfire Freesync Navi Architecture Graphics Card ,MSI, Radeon RX 5700 XT , 8 GB , GDDR6 , 1980 MHz ,27120.00
117,Sapphire Radeon NITRO+ RX 5700 XT 8GB GDDR6 Dual HDMI / Dual DP OC (UEFI) PCIe 4.0 Graphics Card,SapphireTechnology, Radeon NITRO+ , 8 GB , GDDR6 , 2010 MHz ,34631.20
118,XFX RX 5700 XT Triple Dissipation 8GB GDDR6 3xDP HDMI Graphics Card,XFX, Radeon RX 5700 XT , 8 GB , GDDR6 , 1905 MHz ,71996.00
119,ASRock VCX RX 5700 XT Challenger D 8G OC 8GB GDDR6 PCIE 256B HDMI 3xDP Retail ,ASRock, RX5700 XT , 8 GB , GDDR6 , 1905 MHz ,31440.00
120,PowerColor Radeon Rx 5700 Xt 8GB GDDR6 Graphics Card,PowerColor, Radeon RX 5700 XT , 8 GB , GDDR6 , 1905 MHz ,37598.40
121,"ASUS TUF Gaming 3 AMD Radeon RX 5700XT OC Edition Gaming Graphics Card (PCIe 4.0, 8GB, GDDR6, HDMI, DisplayPort, Axial-tech Fan Design",ASUS, TUF RX 5700XT OC Edition , 8 GB , GDDR6 , 1980 MHz ,135908.80
122,PowerColor Red Dragon AMD Radeon RX 5700 XT 8GB AXRX 5700XT 8GBD6-3DHR/OC,PowerColor, Red Dragon RX 5700 XT , 8 GB , GDDR6 , 1905 MHz ,37599.20
